id,parameter_data_id,covidence_id,pathogen,parameter_type,parameter_unit,exponent,parameter_value,parameter_value_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,parameter_uncertainty_type,parameter_uncertainty_single_value,parameter_uncertainty_singe_type,parameter_lower_bound,parameter_upper_bound,genome_site,case_definition,cfr_ifr_denominator,cfr_ifr_method,cfr_ifr_numerator,data_available,distribution_2_par1_type,distribution_2_par1_uncertainty,distribution_2_par1_value,distribution_2_par2_type,distribution_2_par2_uncertainty,distribution_2_par2_value,distribution_2_type,distribution_par1_type,distribution_par1_uncertainty,distribution_par1_value,distribution_par2_type,distribution_par2_uncertainty,distribution_par2_value,distribution_type,exponent_2,genomic_sequence_available,inverse_param,inverse_param_2,method_2_from_supplement,method_disaggregated,method_disaggregated_by,method_disaggregated_only,method_from_supplement,method_moment_value,method_r,name_data_entry,other_delay_end,other_delay_start,parameter_2_lower_bound,parameter_2_statistical_approach,parameter_2_uncertainty_lower_value,parameter_2_uncertainty_single_type,parameter_2_uncertainty_single_value,parameter_2_uncertainty_type,parameter_2_uncertainty_upper_value,parameter_2_unit,parameter_2_upper_bound,parameter_2_value,parameter_2_value_type,parameter_statistical_approach,parameter_2_sample_paired_lower,parameter_2_sample_paired_upper,parameter_from_figure,population_age_max,population_age_min,population_country,population_group,population_location,population_sample_size,population_sample_type,population_sex,population_study_end_day,population_study_end_month,population_study_end_year,population_study_start_day,population_study_start_month,population_study_start_year,r_pathway,riskfactor_adjusted,riskfactor_name,riskfactor_occupation,riskfactor_outcome,riskfactor_significant,seroprevalence_adjusted,third_sample_param_yn,trimester_exposed,urban_rural_area,access_param_id,article_id,parameter_class,parameter_bounds,comb_uncertainty_type,comb_uncertainty,population_country_original,other_delay,delay_short,delay_start,genomic_lineage,prnt_on_elisa,metaanalysis_inclusion,women_or_infants,pregnancy_outcome_type,survey_start_date,survey_end_date,survey_date
027e7846400ea3c6e36728afd902892d,db24c976c695bdc1da1339e437b31761,17,Zika virus,Seroprevalence - IgG,Percentage (%),0,0,Mean,NA,NA,NA,NA,NA,NA,NA,NA,Lab confirmed,494,NA,0,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Unspecified,NA,Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Observed sample statistic,0,0,FALSE,86,1,Iran,Mixed groups,Hormozgan province,494,Mixed settings,Both,NA,Jun,2017,NA,Sep,2016,NA,NA,NA,NA,NA,NA,Naive,FALSE,NA,Both urban and rural areas,2,3,Seroprevalence,NA,NA,NA,Iran,NA,NA,Other,NA,F,NA,NA,NA,Sep 2016,Jun 2017,Sep 2016 - Jun 2017
f2a3e4fbe223909633a61319bba873dd,a1d62bf61e2ae1038c1d900d82bb3e24,162,Zika virus,Seroprevalence - Neutralisation/PRNT,Percentage (%),0,0.1,Unspecified,0,0.5,95% CI,NA,NA,NA,NA,NA,NA,31,NA,1,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Unspecified,NA,Richard Sheppard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Observed sample statistic,0,0,FALSE,5,0.5,DRC,Children,NA,NA,Population based,Unspecified,NA,NA,2014,NA,NA,2013,NA,NA,NA,NA,NA,NA,Naive,FALSE,Unspecified,Unspecified,1,1,Seroprevalence,NA,95% CI,0 - 0.5,DRC,NA,NA,Other,NA,V,NA,NA,NA,2013,2014,2013 - 2014
f2a3e4fbe223909633a61319bba873dd,d13e49114e5a63c258e090c5cbafa7e2,162,Zika virus,Seroprevalence - IgG,Percentage (%),0,3.5,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,978,NA,34,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Unspecified,NA,Richard Sheppard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Observed sample statistic,0,0,FALSE,5,0.5,DRC,Children,NA,978,Population based,Unspecified,NA,NA,2014,NA,NA,2013,NA,NA,NA,NA,NA,NA,Naive,FALSE,Unspecified,Unspecified,2,1,Seroprevalence,NA,NA,NA,DRC,NA,NA,Other,NA,F,NA,NA,NA,2013,2014,2013 - 2014
c9ef5e198b433e27b6dadb1dde20e6d7,35836ecdc9eb2867c77f3c9d9b0312c7,174,Zika virus,Seroprevalence - Western blot,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,2,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Unspecified,NA,Anna Vicco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Thailand,Persons under investigation,NA,21,Hospital based,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,110,55,Seroprevalence,NA,NA,NA,Thailand,NA,NA,Other,NA,F,NA,NA,NA,Unspecified,Unspecified,Unspecified
4cdd4fd17b66a67ef6df4c1b397c4b12,e81eb10ae0002de5a84f490e65f9b57c,248,Zika virus,Reproduction number (Basic R0) - Vector-borne,No units,0,2.475,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Mid outbreak,Next generation matrix,Anna Vicco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estimated model parameter,0,0,FALSE,NA,NA,Brazil,Persons under investigation,NA,NA,Population based,Unspecified,2,Jun,2016,6,Feb,2016,Animal-animal,NA,NA,NA,NA,NA,NA,FALSE,NA,Unspecified,16,7,Reproduction number,NA,NA,NA,Brazil,NA,NA,Other,NA,F,NA,NA,NA,6 Feb 2016,2 Jun 2016,6 Feb 2016 - 2 Jun 2016
4cdd4fd17b66a67ef6df4c1b397c4b12,cbf0f13065d20365bfc333ac659a0191,248,Zika virus,Reproduction number (Basic R0) - Sexual,No units,0,0.0538,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Mid outbreak,Next generation matrix,Anna Vicco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estimated model parameter,0,0,FALSE,NA,NA,Brazil,Persons under investigation,NA,NA,Population based,Unspecified,2,Jun,2016,6,Feb,2016,Human-human,NA,NA,NA,NA,NA,NA,FALSE,NA,Unspecified,15,7,Reproduction number,NA,NA,NA,Brazil,NA,NA,Other,NA,F,NA,NA,NA,6 Feb 2016,2 Jun 2016,6 Feb 2016 - 2 Jun 2016
4cdd4fd17b66a67ef6df4c1b397c4b12,9d41c8e51481adeeaac24b946f01c01b,248,Zika virus,Reproduction number (Basic R0),No units,0,2.502,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Mid outbreak,Next generation matrix,Anna Vicco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estimated model parameter,0,0,FALSE,NA,NA,Brazil,Persons under investigation,NA,NA,Population based,Unspecified,2,Jun,2016,6,Feb,2016,Vector-human,NA,NA,NA,NA,NA,NA,FALSE,NA,Unspecified,14,7,Reproduction number,NA,NA,NA,Brazil,NA,NA,Other,NA,F,NA,NA,NA,6 Feb 2016,2 Jun 2016,6 Feb 2016 - 2 Jun 2016
a61a014f4cb51abe3475d8d0b31a9841,2e4a7017f7b093b2828d2ef48b320bf0,268,Zika virus,Reproduction number (Basic R0),No units,0,2.45,NA,1.57,3.65,95% CI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Start outbreak,Growth rate,Anna Vicco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estimated model parameter,0,0,FALSE,NA,NA,Brazil,NA,Rio de Janeiro,NA,NA,NA,NA,NA,NA,NA,NA,2002,Vector-human,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,10,6,Reproduction number,NA,95% CI,1.57 - 3.65,Brazil,NA,NA,Other,NA,F,NA,NA,NA,2002,Unspecified,2002 - Unspecified
a61a014f4cb51abe3475d8d0b31a9841,57e0c1fd2ec81327415c6d9d674344d2,268,Zika virus,Reproduction number (Basic R0),No units,0,1.82,NA,1.19,2.68,95% CI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Start outbreak,Growth rate,Anna Vicco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estimated model parameter,0,0,FALSE,NA,NA,Brazil,NA,Rio de Janeiro,NA,NA,NA,NA,NA,NA,NA,NA,2012,Vector-human,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,11,6,Reproduction number,NA,95% CI,1.19 - 2.68,Brazil,NA,NA,Other,NA,F,NA,NA,NA,2012,Unspecified,2012 - Unspecified
a61a014f4cb51abe3475d8d0b31a9841,27221d3dae48cdda87804eb2a3fe6fda,268,Zika virus,Growth rate (r),Per week,0,0.823,Maximum likelihood,NA,NA,NA,0.053,Standard Deviation,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,FALSE,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Start outbreak,Growth rate,Anna Vicco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estimated model parameter,0,0,FALSE,NA,NA,Brazil,NA,Rio de Janeiro,NA,NA,NA,NA,NA,NA,18,Oct,2015,Vector-human,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,12,6,Growth rate,NA,Standard Deviation,0.053,Brazil,NA,NA,Other,NA,F,NA,NA,NA,18 Oct 2015,Unspecified,18 Oct 2015 - Unspecified
