id,parameter_data_id,covidence_id,pathogen,parameter_type,parameter_value,exponent,parameter_unit,parameter_lower_bound,parameter_upper_bound,parameter_value_type,parameter_uncertainty_single_value,parameter_uncertainty_singe_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,parameter_uncertainty_type,cfr_ifr_numerator,cfr_ifr_denominator,distribution_type,distribution_par1_value,distribution_par1_type,distribution_par1_uncertainty,distribution_par2_value,distribution_par2_type,distribution_par2_uncertainty,method_from_supplement,method_moment_value,cfr_ifr_method,method_r,method_disaggregated_by,method_disaggregated,method_disaggregated_only,riskfactor_outcome,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,population_sex,population_sample_type,population_group,population_age_min,population_age_max,population_sample_size,population_country,population_location,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,genome_site,genomic_sequence_available,other_delay_start,other_delay_end,inverse_param,parameter_from_figure,parameter_class,ebola_variant,other_delay,delay_short,delay_start,other_rf_outcome,survey_start_date,survey_end_date,survey_date,parameter_bounds,comb_uncertainty_type,comb_uncertainty,article_qa_score,outbreak,ebola_species
3fcec020afa4dd79f4e3799404c5b727,ad84262af2e944759d1fc84d4b0efbd5,30,Ebola virus,Human delay - incubation period  (inverse parameter),NA,0,Days,9.34,14.27,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,NA,NA,NA,"Region, Time",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sierra Leone,NA,25,May,2014,25,Jan,2015,NA,FALSE,NA,NA,TRUE,NA,Human delay,Unspecified,NA,Incubation period,Infection process,NA,25 May 2014,25 Jan 2015,25 May 2014 - 25 Jan 2015,9.34 - 14.27,NA,NA,85.71428571428571,West Africa 2013-2016,Zaire
1f70619a4ab2cf6a5a31d6b8e243d5f3,f6a75a765034c39fc7ff7a6da972d2bf,30,Ebola virus,"Reproduction number (Effective, Re)",NA,0,No units,0.44,2.22,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,Compartmental model,"Region, Time",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sierra Leone,NA,25,May,2014,25,Jan,2015,NA,FALSE,NA,NA,FALSE,NA,Reproduction number,Unspecified,NA,NA,Other,NA,25 May 2014,25 Jan 2015,25 May 2014 - 25 Jan 2015,0.44 - 2.22,NA,NA,85.71428571428571,West Africa 2013-2016,Zaire
1f70619a4ab2cf6a5a31d6b8e243d5f3,cc4b1927b74f5083a186dcaa297882a9,30,Ebola virus,Human delay - infectious period,NA,0,Days,10.92,12.84,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,NA,NA,NA,"Region, Time",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sierra Leone,NA,25,May,2014,25,Jan,2015,NA,FALSE,NA,NA,FALSE,NA,Human delay,Unspecified,NA,Infectious period,Infection process,NA,25 May 2014,25 Jan 2015,25 May 2014 - 25 Jan 2015,10.92 - 12.84,NA,NA,85.71428571428571,West Africa 2013-2016,Zaire
39bcdd949c745dc2b196813f9bc438e5,08148122b216f31da8dfe498066d27a0,41,Ebola virus,Human delay - incubation period,9.2,0,Days,NA,NA,Mean,6.7,Standard Deviation,2,33,Range,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,Other,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,NA,NA,NA,49,Sierra Leone,Jui Government Hospital,1,Oct,2014,9,Nov,2014,NA,FALSE,NA,NA,FALSE,NA,Human delay,Zaire Ebola virus (EBOV),NA,Incubation period,Infection process,NA,1 Oct 2014,9 Nov 2014,1 Oct 2014 - 9 Nov 2014,NA,Range,2 - 33,100,West Africa 2013-2016,Zaire
39bcdd949c745dc2b196813f9bc438e5,83f750d6ecd45b00b0f1f4fd935277ab,41,Ebola virus,Severity - case fatality rate (CFR),60,0,Percentage (%),NA,NA,NA,NA,NA,NA,NA,NA,51,85,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,Unspecified,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,NA,NA,NA,85,Sierra Leone,Jui Government Hospital,1,Oct,2014,9,Nov,2014,NA,FALSE,NA,NA,FALSE,NA,Severity,Zaire Ebola virus (EBOV),NA,NA,Other,NA,1 Oct 2014,9 Nov 2014,1 Oct 2014 - 9 Nov 2014,NA,NA,NA,100,West Africa 2013-2016,Zaire
39bcdd949c745dc2b196813f9bc438e5,ca100b4de061f99cf6e0f7895d20e979,41,Ebola virus,Human delay - Symptom Onset/Fever to Admission to Care/Hospitalisation,5.8,0,Days,NA,NA,Mean,3.3,Standard Deviation,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,Other,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,NA,NA,NA,49,Sierra Leone,Jui Government Hospital,1,Oct,2014,9,Nov,2014,NA,FALSE,Symptom Onset/Fever,Admission to Care/Hospitalisation,FALSE,NA,Human delay,Zaire Ebola virus (EBOV),Symptom Onset/Fever to Admission to Care/Hospitalisation,Symptom onset to admission to care,Symptom onset,NA,1 Oct 2014,9 Nov 2014,1 Oct 2014 - 9 Nov 2014,NA,Standard Deviation,3.3,100,West Africa 2013-2016,Zaire
39bcdd949c745dc2b196813f9bc438e5,22bcf8a7bca857f374facebad1446a8d,41,Ebola virus,Human delay - Symptom Onset/Fever to Death,10.6,0,Days,NA,NA,Mean,3.2,Standard Deviation,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,NA,NA,NA,NA,Sierra Leone,Jui Government hospital,1,Oct,2014,9,Nov,2014,NA,FALSE,Symptom Onset/Fever,Death,FALSE,NA,Human delay,Zaire Ebola virus (EBOV),Symptom Onset/Fever to Death,Symptom onset to death,Symptom onset,NA,1 Oct 2014,9 Nov 2014,1 Oct 2014 - 9 Nov 2014,NA,Standard Deviation,3.2,100,West Africa 2013-2016,Zaire
39bcdd949c745dc2b196813f9bc438e5,01cf1bce4d9627f666cef2211fe6c08b,41,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,Death,Age;Other,NA,Significant,Adjusted,NA,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Zaire Ebola virus (EBOV),NA,NA,Other,NA,Unspecified,Unspecified,Unspecified,NA,NA,NA,100,Unspecified,Zaire
eb6c62387fa97c769352a7bb387237bb,9906bbe4fb8a689fd8748be9a4a57c73,45,Ebola virus,Severity - case fatality rate (CFR),63,0,Percentage (%),NA,NA,Unspecified,NA,NA,60,64,95% CI,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,Mid outbreak,Unspecified,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberia,Montserrado county,7,Jul,2014,22,Sep,2014,NA,FALSE,NA,NA,FALSE,NA,Severity,Unspecified,NA,NA,Other,NA,7 Jul 2014,22 Sep 2014,7 Jul 2014 - 22 Sep 2014,NA,95% CI,60 - 64,100,West Africa 2013-2016,Zaire
eb6c62387fa97c769352a7bb387237bb,e2462a0aaebfbe8388121199577cdd79,45,Ebola virus,"Reproduction number (Effective, Re)",1.73,0,No units,NA,NA,Unspecified,NA,NA,1.66,1.83,95% CI,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,Branching process,"Symptoms, Other",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberia,Montserrado county,7,Jul,2014,22,Sep,2014,NA,FALSE,NA,NA,FALSE,NA,Reproduction number,Unspecified,NA,NA,Other,NA,7 Jul 2014,22 Sep 2014,7 Jul 2014 - 22 Sep 2014,NA,95% CI,1.66 - 1.83,100,West Africa 2013-2016,Zaire
3525708414828fd5d9ca08f246b7684c,dcfbfbb21e8487081e114fbcf3f49b85,57,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,Death,Age;Other;Sex,Unspecified,Significant,Unspecified,Both,Hospital based,Unspecified,0.5,75,139,Sierra Leone,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov,2014,18,Jan,2015,NA,FALSE,NA,NA,FALSE,NA,Risk factors,Unspecified,NA,NA,Other,NA,15 Nov 2014,18 Jan 2015,15 Nov 2014 - 18 Jan 2015,NA,NA,NA,100,West Africa 2013-2016,Zaire
